name,birth_year,death_year
"Grabbe, Christian Dietrich",1801.0,1836.0
"Lavater, Johann Kaspar",1741.0,1801.0
"Eberhard , Christian August Gottlob",1769.0,1845.0
"Passionei, Domenico,",1682.0,1761.0
"Passauer, W.",,
"Parreneu, W.",,
"Paoli, Betty",1814.0,1894.0
"Pantenius, Theodor Hermann",1843.0,1915.0
"Panov, J.",,
"Pakkala, Teuvo",1862.0,1925.0
"Päivärinta, Pietari",1827.0,1913.0
Pai-Hsing-Tsien,,
P. P.,,
"Õunapuu, Eduard Johannes",1874.0,
"Otzen-Hansen, Jakob",1842.0,1905.0
"Ottolengui, Rodrigues",1861.0,1937.0
"Otto, C. H.",,
"Osterwald, Wilhelm",1820.0,1887.0
"Osta, J. von",,
"Ossipov, A. A.",,
"Oser, Friedrich",1820.0,1891.0
"Ortmann, Reinhold",1859.0,1929.0
"Ortmann, Reinhold",1859.0,1929.0
"Oršanin, A. u",1872.0,1947.0
"Opperheim, A.",,
Oliver Goldsmith,1730.0,1774.0
Ohrenberg,,
"Ohorn, Anton",1846.0,1924.0
"Ohnet, Georges",1848.0,1918.0
"Ohly, Emil",1830.0,1888.0
"Oertel, Friedrich Wilhlem Philipp (",1798.0,1867.0
"Oertel, Friedrich Wilhlem Philipp (",1798.0,1867.0
"Obolenski, Leonid",1845.0,1906.0
O. v. Leikner,,
O. O.,,
"Nuormaa (Nyman), Severi",1865.0,1924.0
"Nuél, M.",,
Novalis,1772.0,1801.0
"Nouhuys, Willem Gerard van",1854.0,1914.0
"Nossilov, Konstantin",1858.0,1923.0
"Nordmann, H.",,
"Nordau, Max",1849.0,1923.0
"Noël, A.",,
"Nion, François de",1856.0,1923.0
"Nin, Carl",,
"Nikolai I,",1841.0,1921.0
Nikolai Gogol,1809.0,1852.0
"Nikitin, Ivan",1824.0,1861.0
Nievlai,,
"Nieritz, Karl Gustav",1795.0,1876.0
"Nieritz, Gustav",1795.0,1876.0
"Niemann, August",1839.0,1919.0
"Nessel, J.",,
"Nemirovitš-Dantšenko, Vassili",1849.0,1936.0
"Nekrassov, Nikolai",1821.0,1878.0
"Nazarjeva, Kapitolina",1847.0,1900.0
"Navrotski, Aleksandr",1839.0,1903.0
"Naponen, Aapo",,
"Nansen, Peter",1861.0,1918.0
"Nado, Gustav",,
n.,,
"Mützelburg, Adolf",1831.0,1882.0
"Muth, Franz Alfred",1839.0,1890.0
"Mustakallio, Jooseppi",1857.0,1923.0
"Mustakallio, J.",,
"Musäus, Johann Karl August",1735.0,1787.0
Müller?,,
"Müller, Wilhelm",1794.0,1827.0
"Müller, R.",,
"Müller, Karl Wilhelm",1794.0,1827.0
"Müller, Johannes von",1752.0,1809.0
"Müller, J.",,
"Müller, H.",,
"Müller, G.",,
"Müller, Curt",1870.0,1931.0
"Müllenhoff, Karl",1818.0,1884.0
Mühle,,
"Mügge, Theodor",1802.0,1861.0
"Muellenbach, Leo Ernst Achilles",1862.0,1901.0
"Mozepa, O.",,
"Moys, Agathe",,
Uhlmann,,
Max D-r,,
"Motan, Maks",,
"Moser, Andreas",1766.0,1806.0
"Mosen, Julius",1803.0,1867.0
"Mortan, Maks",,
"Morski, Valentin",,
"Moritz, N.",,
"Moritz, A.",,
"Mörike, Eduard",1804.0,1875.0
"Moréas, Jean",1856.0,1910.0
"More, Thomas",1478.0,1535.0
"Morawitz, Reinhard",,
"Moody, Dwight Lyman",1837.0,1899.0
"Montépin, Xavier de",1823.0,1902.0
"Montégut, Maurice",1855.0,1911.0
"Montaigne, Michel de",1533.0,1592.0
Mönch,,
"Moltke, H. von",,
"Möllhausen, Balduin",1825.0,1905.0
"Mjatlev, Vladimir",1868.0,1946.0
"Mitropolski, Ivan",1872.0,
"Mirbeau, Octave",1848.0,1917.0
"Minajev, Dmitri",1835.0,1889.0
"Milton, John",1608.0,1674.0
"Milton, J.",,
"Milne, A. A.",1882.0,1956.0
"Mikszáth, Kálmán",1847.0,1910.0
"Mikolina, Maria",,
"Mihhailov, K.",,
Mihhail Lermontov,1814.0,1841.0
Mielow,,
"Mielke, Hellmuth",1859.0,1918.0
"Mezzabotta, Ernesto",1852.0,1901.0
"Meyers, Ulr.",,
"Meyer, Leopold",,
"Meyer, Ferd.",,
"Meyer, Conrad Ferdinand",1825.0,1898.0
"Meyer, August Ferdinand",1811.0,1894.0
"Meyer-Förster, Wilhelm",1862.0,1934.0
"Meštšerski, Vladimir",1839.0,1914.0
"Merzljakov, Aleksei",1778.0,1830.0
"Mertz, N.",,
"Merk, Emma",1854.0,1925.0
"Mérimée, Prosper",1803.0,1870.0
"Merežkovski, Dmitri",1866.0,1941.0
"Menzel, Wolfgang",1798.0,1873.0
"Mentzel, E.",,
"Mellin, Gustaf Henrik",1803.0,1876.0
"Meller, O.",,
"Meli, P.",,
"Meiyer, J. Fr.",,
"Meister, Friedrich",1841.0,1919.0
"Meister, Friedrich",1841.0,1918.0
"Meissner, Alfred",1822.0,1885.0
"Meinhold, Wilhelm",1797.0,1851.0
"Meinhardt, Adelbert",1848.0,1911.0
"Meding, Oskar,",1829.0,1903.0
"Mayr, Raymund",1845.0,1905.0
"May, Karl",1842.0,1912.0
"Maurice, L.",,
"Maupassant, Guy de",1850.0,1893.0
"Matthisson, Friedrich von",1761.0,1831.0
Mathilde,,
Mathesius,,
"Massalski, Konstantin",1802.0,1861.0
"Maslov, E.",,
"Märzroth, Dr.",1818.0,1888.0
"Mary, Jules",1851.0,1922.0
"Mary Stuart, Šotimaa kuninganna",1542.0,1587.0
"Martovõtš, Less,",1871.0,1916.0
"Marti, Fritz",1866.0,1914.0
"Marthold, Jules de",1847.0,1927.0
"Marryat, Frederick",1792.0,1848.0
"Marriot, Emil",1855.0,1938.0
Maro Orlando Rolfe,1852.0,1925.0
"Marmondt, Willy von",,
"Marlitt, Eugenie",1825.0,1887.0
"Marlitt, Eugene",1825.0,1887.0
"Marlitt, E.",1825.0,1887.0
"Marks, Stefan",,
"Markquardt, Paul",1836.0,1872.0
Markc,,
Maria,,
Marcus Aurelius,121.0,180.0
"March, Richard",,
"Marbach, Gotthard Oswald",1810.0,1890.0
"Mäns, Julius Bernhard",1871.0,1935.0
"Jürgenstein, Anton",1861.0,1933.0
"Manroy, Paul",,
"Mändmets, Jakob",1871.0,1930.0
"Malsow, E.",,
"Maisi, Pieter van",,
"Mairet, Jeanne",1843.0,1936.0
"Maikov, Apollon",1821.0,1897.0
"Mahlmann, Siegfried August",1771.0,1826.0
M. O.,,
M. M.,,
M. J.,,
"Luther, Martin",1483.0,1546.0
Jean-Paul,1763.0,1825.0
